id,porcentaje
80218,71.93
80211,52.63
80191,29.82
80190,94.74
80225,59.65
80217,21.05
80224,19.30
80216,38.60
80248,47.37
80263,33.33
80229,31.58
80235,31.58
80226,40.35
80227,21.05
80228,49.12
80252,42.11
80272,61.40
80273,49.12
80274,24.56
80275,36.84
80277,19.30
80299,22.81
80161,5.26
80232,17.54
80258,15.79
80260,21.05
80172,22.81
80271,35.09
80280,40.35
80285,36.84
80286,38.60
80297,24.56
80300,24.56
80301,49.12
80306,36.84
80307,71.93
80308,84.21
80309,52.63
80312,36.84
80316,54.39
80317,52.63
80318,12.28
80319,82.46
80321,45.61
80322,15.79
80326,45.61
80327,47.37
80328,49.12
80329,24.56
80330,91.23
80331,45.61
80332,38.60
80334,43.86
80335,15.79
80336,26.32
80338,38.60
80242,10.53

